#TYPE System.Management.Automation.PSCustomObject
"Date","TenantName","SubscriptionID","SubscriptionName","SubscriptionCurrentScore","SubscriptionMaxScore","SubscriptionSecureScorePercentage","SubscriptionWeight","ControlName","ControlDisplayName","ControlCurrentScore","ControlMaxScore","ControlPercentage","ControlWeight","ControlHealthyResourceCount","ControlUnhealthyResourceCount","ControlNotApplicableResourceCount"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Enable MFA","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Implement security best practices","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Manage access and permissions","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Enable enhanced security features","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Protect your applications with Azure advanced networking solutions","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Restrict unauthorized network access","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Apply adaptive application control","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Remediate security configurations","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Secure management ports","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Remediate vulnerabilities","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Enable encryption at rest","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Enable endpoint protection","0","0","0","0","0","0","0"
"01/11/2022 00:00:00","Contoso","subscriptionguid","subscriptionName","0","0","0","0","otherguid","Apply system updates","0","0","0","0","0","0","0"
